id,enabled,password,username
a337ec45-31a0-4f2b-9b2e-a105c4b669bb,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,administrator
56a50e9a-9668-437d-a09c-7e709ce22222,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,devadmin
c994d1ea-47f7-435d-9d4d-42fb54197698,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,srmanager1
f72bf4ee-eb86-4bfd-be88-4f481f4e2fe0,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,srmanager2
7d6c0269-0c6a-4c9a-a098-46de276b9d26,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,srmanager3
c54df462-66d8-4a02-bee9-b786fe2f30ee,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,srmanager4
cb5cd52f-f205-475d-8763-90852839424d,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,smanager1
9b2778af-5372-4410-a5c8-899e7f74296b,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,smanager2
2fbe9be3-f5e4-47ec-a10a-f3380c0daf75,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,smanager3
469c6e1c-aab7-4640-8925-f3c34bbe752d,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,smanager4
573cf089-dfff-4273-b353-d94058164e55,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,dsrmanager
2bb552b3-0324-42ef-bb21-c5cc74a38592,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,psupervisor
247b366d-f8ab-4226-9ae9-a188d5ee8e22,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,wclerk1
476415b1-ca81-4561-a3b7-fa3d08434800,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,wclerk2
1e3b03a5-1d48-4de1-bb4a-389beece2277,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,rivo
560be32a-ea2e-4d12-ae00-1f69376ad535,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,divo1
0053b56d-be93-4d82-a021-b713dbaae2a9,TRUE,$2a$10$4IZfidcJzbR5Krvj87ZJdOZvuQoD/kvPAJe549rUNoP3N3uH0Lq2G,divo2
